Szene;Qualität;Gruppe;Proband;Altersgruppe;Alter;km/y;Verkehrsaufkommen;Tag;VT;VS;SA Level 3;SA gesamt;Speed;Spur;Rate
SA4;H;M Flat;14;U35;23;15000;3;3;0,50;0,00;0,000;0,167;0;zu weit links;7
SA4;H;M Flat;15;Ü35;59;30000;3;1;1,00;1,00;1,000;1,000;0;zu weit links;6
SA4;H;HMD;16;U22;19;15000;3;1;0,50;0,00;0,000;0,167;0;zu weit links;5
SA4;N;M Flat;17;U35;27;8000;3;2;0,75;1,00;0,000;0,583;0;zu weit links;9
SA4;H;HMD;18;U22;21;3000;3;3;0,75;1,00;0,000;0,583;0;Korrekt;8
SA4;H;M Flat;19;U22;21;3000;3;4;0,50;1,00;0,000;0,500;0;zu weit links;5
SA4;H;M Flat;20;U22;19;15000;3;1;0,50;0,00;1,000;0,500;0;zu weit links;6
SA4;N;M Sphere;21;U22;21;15000;3;1;0,75;0,00;0,000;0,250;0;zu weit links;1
SA4;N;M Sphere;22;U35;28;8000;3;3;0,50;0,00;0,000;0,167;0;zu weit links;1
SA4;H;M Sphere;23;U35;22;3000;3;3;0,75;0,00;1,000;0,583;0;zu weit links;6
SA4;H;HMD;24;U35;26;8000;3;4;0,75;0,00;1,000;0,583;0;zu weit links;5
SA4;H;HMD;25;Ü35;50;15000;3;1;0,50;0,00;0,000;0,167;0;zu weit links;3
SA4;N;HMD;26;U35;24;3000;3;2;0,50;0,00;0,000;0,167;0;Korrekt;3
SA4;H;M Sphere;27;U22;19;3000;3;4;0,50;0,00;0,000;0,167;0;zu weit links;4
SA4;H;HMD;28;U35;24;3000;3;1;0,25;0,00;0,000;0,083;0;zu weit links;6
SA4;H;M Sphere;29;U35;22;3000;3;1;0,50;0,00;0,000;0,167;0;Korrekt;5
SA4;N;M Sphere;30;U22;21;15000;3;2;0,50;0,00;0,000;0,167;0;zu weit links;4
SA5;H;HMD;1;U35;23;15000;2;2;0,66;1,00;1,000;0,887;0;Korrekt;7
SA5;H;HMD;2;U22;19;3000;2;3;1,00;1,00;0,500;0,833;0;zu weit links;6
SA5;N;M Sphere;3;U22;18;8000;2;1;0,33;1,00;0,500;0,610;0;Korrekt;4
SA5;H;M Flat;4;U35;23;3000;2;2;0,66;1,00;0,000;0,553;0;Korrekt;7
SA5;H;M Flat;5;U22;19;8000;2;3;1,00;1,00;1,000;1,000;0;Korrekt;8
SA5;N;M Flat;6;U35;32;3000;2;1;0,66;1,00;0,500;0,720;0;Korrekt;8
SA5;H;HMD;7;U35;22;8000;2;4;0,66;1,00;0,500;0,720;0;Korrekt;5
SA5;H;M Sphere;8;U35;22;3000;2;2;0,33;1,00;0,500;0,610;0;Korrekt;8
SA5;H;HMD;9;Ü35;53;30000;2;3;0,66;1,00;0,500;0,720;0;Korrekt;9
SA5;H;M Flat;10;Ü35;49;15000;2;4;0,66;1,00;0,500;0,720;0;zu weit links;8
SA5;H;M Sphere;11;Ü35;54;8000;2;3;0,33;1,00;1,000;0,777;0;Korrekt;8
SA5;H;M Flat;12;U35;22;8000;2;3;0,66;1,00;0,500;0,720;0;Korrekt;6
SA5;N;M Sphere;13;U22;20;8000;2;1;0,66;1,00;1,000;0,887;0;Korrekt;6
SA5;N;M Flat;14;U35;23;15000;2;1;0,66;1,00;0,500;0,720;0;Korrekt;5
SA5;N;M Flat;15;Ü35;59;30000;2;4;0,66;1,00;0,500;0,720;0;zu weit links;6
SA5;N;HMD;16;U22;19;15000;2;4;0,66;1,00;0,500;0,720;0;Korrekt;7
SA5;H;M Flat;17;U35;27;8000;2;4;0,66;1,00;0,500;0,720;0;Korrekt;5
SA5;N;HMD;18;U22;21;3000;2;1;0,33;1,00;1,000;0,777;0;Korrekt;8
SA5;N;M Flat;19;U22;21;3000;2;2;0,66;1,00;1,000;0,887;0;zu weit links;7
SA5;N;M Flat;20;U22;19;15000;2;3;1,00;1,00;0,500;0,833;0;Korrekt;10
SA5;H;M Sphere;21;U22;21;15000;2;4;0,33;1,00;1,000;0,777;0;Korrekt;1
SA5;H;M Sphere;22;U35;28;8000;2;3;0,66;1,00;0,500;0,720;0;Korrekt;4
SA5;N;M Sphere;23;U35;22;3000;2;1;1,00;1,00;0,500;0,833;0;Korrekt;1
SA5;N;HMD;24;U35;26;8000;2;2;0,66;1,00;0,500;0,720;0;Korrekt;8
SA5;N;HMD;25;Ü35;50;15000;2;3;0,66;1,00;1,000;0,887;0;Korrekt;7
SA5;H;HMD;26;U35;24;3000;2;4;0,33;1,00;0,500;0,610;0;Korrekt;4
SA5;N;M Sphere;27;U22;19;3000;2;1;0,66;1,00;0,500;0,720;0;Korrekt;2
