Probnr;Gruppe;Termin;Qualitat;A;B;C;D;E;F;G;H;Usab1;I;J;K;L;M;N;O;Usab2;TLXa;TLXb;TLXc;TLXd;TLXe;TLXf;TLX;Pa;Pb;Pc;Pd;Pe;Immersion
28;HMD;2;H;-2;-2;-2;1;0;0;0;0;-0,625;0;-1;1;0;-1;1;0;0;6;2;5;5;4;2;4;0;1;-1;1;-2;-0,2
29;Sphere;2;H;-2;-2;-2;1;-1;1;2;1;-0,25;1;1;2;-1;1;0;2;0,857142857;2;3;4;2;2;2;2,5;2;3;3;-1;2;1,8
30;Sphere;2;H;-2;-2;-2;0;2;1;0;1;-0,25;1;1;1;1;0;1;2;1;4;1;2;3;3;3;2,666666667;1;0;0;0;1;0,4
1;HMD;3;H;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;4;4;4;1;3;2;3;3;-3;3;1,6
2;HMD;3;H;1;1;1;0;2;1;1;1;1;1;1;2;1;1;0;0;0,857142857;5;2;4;4;3;2;3,333333333;1;1;2;0;1;1
3;Sphere;3;N;1;2;1;1;1;1;2;2;1,375;1;0;2;2;-1;2;-1;0,714285714;2;1;1;2;1;4;1,833333333;1;-2;1;0;1;0,2
4;Flat;3;N;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,857142857;3;2;3;2;2;3;2,5;0;-1;0;-1;0;-0,4
5;Flat;3;H;1;1;1;1;2;1;1;1;1,125;1;1;2;1;1;1;2;1,285714286;3;3;2;4;1;1;2,333333333;0;0;-1;-1;2;0
6;Flat;3;N;1;0;0;-1;0;-1;0;0;-0,125;-1;1;0;1;-1;0;-1;-0,142857143;5;4;5;4;4;6;4,666666667;-1;0;1;0;-1;-0,2
7;HMD;3;H;1;2;2;1;2;2;2;2;1,75;1;2;1;2;2;-2;-2;0,571428571;3;1;2;1;1;1;1,5;-2;-1;2;-3;-1;-1
8;Sphere;3;H;1;1;1;1;1;1;1;1;1;1;-1;2;1;2;2;-1;0,857142857;3;3;2;2;2;4;2,666666667;2;1;2;-2;2;1
9;HMD;3;N;1;1;1;-1;0;0;0;1;0,375;1;0;0;1;1;1;-1;0,428571429;6;4;2;3;4;3;3,666666667;1;0;2;-1;0;0,4
10;Flat;3;N;1;1;2;1;1;2;1;1;1,25;1;1;1;2;1;2;2;1,428571429;6;2;4;3;1;2;3;0;1;-2;2;0;0,2
11;Sphere;3;N;0;2;2;0;0;0;0;2;0,75;-2;2;2;2;0;2;-2;0,571428571;5;2;1;1;5;4;3;3;0;3;-2;3;1,4
12;Flat;3;H;1;1;1;1;0;2;1;1;1;1;1;2;2;0;0;2;1,142857143;2;3;2;2;1;2;2;-1;-2;0;-1;-1;-1
13;Sphere;3;H;1;1;1;0;2;1;1;1;1;1;-1;2;2;1;2;-2;0,714285714;5;2;1;2;1;2;2,166666667;0;1;0;-1;0;0
14;Flat;3;N;1;2;2;2;1;2;1;2;1,625;2;1;2;2;1;2;2;1,714285714;2;1;1;1;2;2;1,5;2;1;2;1;1;1,4
15;Flat;3;H;1;1;1;0;-1;1;1;1;0,625;1;1;-1;1;1;0;1;0,571428571;2;2;2;2;2;2;2;2;1;2;-1;0;0,8
16;HMD;3;H;2;2;2;1;2;2;2;2;1,875;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1,166666667;3;3;3;2;2;2,6
17;Flat;3;H;2;1;2;1;1;1;2;1;1,375;2;-1;2;2;2;2;-1;1,142857143;6;2;2;2;1;2;2,5;3;2;2;1;3;2,2
18;HMD;3;N;-1;-1;-1;-1;-1;-1;0;-1;-0,875;1;1;1;1;-1;-1;1;0,428571429;5;2;4;2;2;4;3,166666667;0;0;2;-1;-1;0
19;Flat;3;N;1;0;1;1;1;1;0;0;0,625;1;-1;1;1;0;1;0;0,428571429;5;3;4;5;4;5;4,333333333;0;1;0;-1;-1;-0,2
20;Flat;3;H;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;-2;0,857142857;2;1;1;1;1;2;1,333333333;-2;-2;2;-2;-1;-1
21;Sphere;3;H;-1;-1;0;-1;0;-1;0;-1;-0,625;-1;0;2;1;1;2;0;0,714285714;6;4;5;5;4;1;4,166666667;-1;-1;-1;-1;-2;-1,2
22;Sphere;3;H;1;0;1;1;1;2;1;0;0,875;1;1;0;1;1;-1;2;0,714285714;5;3;4;2;3;2;3,166666667;-1;1;0;-3;1;-0,4
23;Sphere;3;N;1;1;1;0;0;1;1;1;0,75;1;1;-1;0;1;1;-1;0,285714286;2;2;2;4;4;2;2,666666667;1;1;2;0;1;1
24;HMD;3;N;1;1;1;1;1;0;0;1;0,75;1;2;2;2;-1;-1;2;1;1;1;1;3;1;2;1,5;1;1;1;3;-1;1
25;HMD;3;H;-1;1;1;0;-1;1;0;1;0,25;-1;1;1;1;0;1;-1;0,285714286;6;4;4;5;3;3;4,166666667;1;2;2;-1;-1;0,6
26;HMD;3;N;1;1;1;0;0;-1;1;1;0,5;1;-1;2;1;-1;0;0;0,285714286;5;3;5;5;3;4;4,166666667;2;-1;2;-1;1;0,6
27;Sphere;3;N;0;-1;0;0;-1;0;0;-1;-0,375;-1;1;0;0;1;1;0;0,285714286;3;2;3;3;3;5;3,166666667;-1;-2;1;0;0;-0,4
28;HMD;3;H;0;1;1;1;1;0;0;1;0,625;0;-1;1;0;0;-1;-1;-0,285714286;6;2;5;5;5;2;4,166666667;-1;0;-2;2;-1;-0,4
29;Sphere;3;N;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1,285714286;4;1;4;3;2;2;2,666666667;2;2;3;-1;3;1,8
30;Sphere;3;N;-2;-2;-2;-2;2;-2;-2;-2;-1,5;-2;2;2;2;-2;2;2;0,857142857;7;7;7;7;7;7;7;3;3;-3;-3;3;0,6
1;HMD;4;N;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1,857142857;3;1;1;1;1;2;1,5;3;3;3;-3;3;1,8
2;HMD;4;N;1;1;1;1;1;1;1;1;1;1;2;2;2;1;0;1;1,285714286;5;2;4;3;3;2;3,166666667;2;2;1;-1;1;1
3;Sphere;4;H;1;1;2;1;1;1;2;1;1,25;2;-1;2;1;0;1;-1;0,571428571;2;1;3;2;1;4;2,166666667;-2;-1;-1;-2;1;-1
4;Flat;4;H;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0,714285714;3;1;3;3;2;2;2,333333333;0;-1;-1;-1;0;-0,6
5;Flat;4;N;1;1;0;0;1;1;0;0;0,5;0;1;1;1;0;-1;1;0,428571429;6;3;2;3;4;3;3,5;-1;-1;-1;-1;1;-0,6
6;Flat;4;N;-1;-1;0;0;0;-1;0;-1;-0,5;0;1;1;0;-1;0;1;0,285714286;5;5;4;4;5;6;4,833333333;-1;-1;1;0;0;-0,2
7;HMD;4;N;2;2;2;1;2;2;2;2;1,875;2;2;1;1;2;-1;-2;0,714285714;1;2;2;2;1;1;1,5;-1;0;0;-3;0;-0,8
8;Sphere;4;N;1;1;1;1;1;1;1;1;1;1;-1;1;1;2;1;-1;0,571428571;2;2;1;1;2;3;1,833333333;1;-1;2;-1;1;0,4
9;HMD;4;H;1;1;1;0;1;1;0;1;0,75;1;1;1;1;1;1;1;1;6;2;3;2;6;2;3,5;1;0;2;-1;2;0,8
